Page,Date,Time_Reported,Time_Occurred,Year,Incident_Type,Incident_Type_Clean,Location,Location_Clean,Address,Synopsis,Disposition,Report_Number,Post_ID,,,,,,,,,,,,
1,"September 8, 2026",09/08/2026 at 4:39 PM,09/08/2026 at 4:39 PM,2026,Harassment,Harassment,Danforth Campus,Danforth Campus,"6475 Forsyth Blvd, St. Louis, MO 63105",Complainant reports concerning communication.,Referred to Judicial,260328,28641,,,,,,,,,,,,
1,"September 8, 2026",09/08/2026 at 1:40 PM,09/08/2026 at 1:00 PM,2026,Trespass,Trespassing,South Campus,South Campus,"6501 Clayton Rd, Clayton, MO 63117",Subject with no WASHU affiliation located on campus.,Pending,260327,28637,,,,,,,,,,,,
1,"September 7, 2026",09/07/2026 at 6:18 PM,09/07/2026 at 6:18 PM,2026,Property Destruction,Property Destruction,Fontbonne,Fontbonne,"6800 Wydown Blvd, St. Louis, MO 63105",Complainant reports damage to door and electronics.,Pending,260326,28639,,,,,,,,,,,,
1,"September 6, 2026",09/06/2026 at 4:28 PM,09/06/2026 at 2:00 PM,2026,Motor Vehicle Theft,Stolen Vehicle,Olin Library,Olin Library,"1 Brookings Dr, St. Louis, MO 63130",Complainant reports theft of electric scooter.,Pending,260326,28606,,,,,,,,,,,,
1,"September 5, 2026",09/05/2026 at 6:36 PM,09/05/2026 at 6:36 PM,2026,Property Destruction,Property Destruction,Fontbonne,Fontbonne,"6800 Wydown Blvd, St. Louis, MO 63105",Complainant reports damage to walls and floors.,Pending,260323,28603,,,,,,,,,,,,
1,"September 4, 2026",09/04/2026 at 10:02 PM,09/04/2026 at 10:02 PM,2026,Larceny,Larceny,Fine Arts Dr,Fine Arts Dr,"1 Fine Arts Dr, St. Louis, MO 63110",Assisted SLMPD with a larceny.,Referred to SLMPD,26-09-04-035074,28599,,,,,,,,,,,,
1,"September 2, 2026",09/02/2026 at 7:56 PM,09/02/2026 at 7:56 PM,2026,Larceny,Larceny,Shepley House,Shepley Dorm,"214-298 S Big Bend Blvd, Clayton, MO 63105",Complainant reports theft of headphones.,Closed,260315,28576,,,,,,,,,,,,
1,"September 1, 2026",09/01/2026 at 8:49 PM,09/01/2026 at 8:30 PM,2026,Harassment,Harassment,Danforth Campus,Danforth Campus,"6475 Forsyth Blvd, St. Louis, MO 63105",Complainant reports concerning communication.,Danforth Campus,260312,28570,,,,,,,,,,,,
1,"September 1, 2026",09/02/2026 at 12:07 AM,09/01/2026 at 7:50 PM,2026,Fraud,Fraud,Danforth House,Danforth House,"Danforth House, Washington University in St. Louis, MO",Complainant reports fraudulent exchange of goods.,Active,260316,28578,,,,,,,,,,,,
1,"August 30, 2026",08/30/2026 at 10:52 AM,08/30/2026 at 10:30 AM,2026,Motor Vehicle Theft (Attempt),Motor Vehicle Theft (Attempt),Interdrive,Interdrive,"726 Interdrive, Washington University in St. Louis, MO",Assisted UCPD with an attempted motor vehicle theft.,Referred to UCPD,26-08-30-034143,28563,,,,,,,,,,,,
2,"August 28, 2026",08/28/2026 at 11:56 AM,08/28/2026 at 10:44 AM,2026,Larceny,Larceny,Weil Hall,Weil Hall,"Weil Hall, Washington University in St. Louis, MO",Complainant reports theft of bike.,Active,260304,28547,,,,,,,,,,,,
2,"August 27, 2026",08/27/2026 at 2:07 AM,08/27/2026 at 2:00 AM,2026,Property Destruction,Property Destruction,Sigma Phi Epsilon,Sigma Phi Epsilon,"Sigma Phi Epsilon, Washington University in St. Louis, MO",Complainant reports damage to window.,Referred to Judicial,260300,28545,,,,,,,,,,,,
2,"August 26, 2026",08/27/2026 at 10:31 AM,08/26/2026 at 11:26 AM,2026,Auto Accident Leave The Scene,Auto Accident Leave The Scene,DUC Garage,DUC Garage,"Danforth University Center Garage, Washington University in St. Louis, MO",Complainant reports leaving the scene of an auto accident.,Active,360301,28557,,,,,,,,,,,,
2,"August 25, 2026",08/25/2026 at 5:38 PM,08/25/2026 at 5:38 PM,2026,Trespass,Trespassing,South Campus,South Campus,"6501 Clayton Rd, Clayton, MO 63117",Subject with no WASHU affiliation located on campus.,Exceptional Clearance,260295,28520,,,,,,,,,,,,
