Incident Type,count 
Larceny,375
Trespass,112
Harassment,48
Property Destruction,40
Stolen Vehicle,38
Fraud,29
Assault,17
Burglary,11
Auto Accident – Leave The Scene,9
Robbery,8
Criminal Activity,7
Stalking,6
Sexual Assault,5
Arson,3
Fire,3
Security Memo,3
Aggravated Assault,2
Disorderly Conduct,2
Motor Vehicle Theft (Attempt),2
Property Destruction (Hate Crime),2
Weapons Violation,2
Accident – Leave The Scene,1
Attempted Motor Vehicle Theft,1
Auto Accident Leave The Scene,1
Crime Alert,1
Criminal Sexual Contact,1
Embezzlement,1
Incident_Type_Clean,1
Lost or Stolen,1
Receiving Stolen Property,1
Shoplifting,1
Terrorist Threat,1
Vandalism,1
Weapons Law Violation,1
