Page,Date,Time_Reported,Time_Occurred,Incident_Type,Location,Synopsis,Disposition,Report_Number,Post_ID,,,,,,,,,,,,,,,,
1,"September 8, 2026",09/08/2026 at 4:39 PM,09/08/2026 at 4:39 PM,Harassment,Danforth Campus,Complainant reports concerning communication.,Referred to Judicial,260328,28641,,,,,,,,,,,,,,,,
1,"September 8, 2026",09/08/2026 at 1:40 PM,09/08/2026 at 1:00 PM,Trespass,South Campus,Subject with no WASHU affiliation located on campus.,Pending,260327,28637,,,,,,,,,,,,,,,,
1,"September 7, 2026",09/07/2026 at 6:18 PM,09/07/2026 at 6:18 PM,Property Destruction,Fontbonne,Complainant reports damage to door and electronics.,Pending,260326,28639,,,,,,,,,,,,,,,,
1,"September 6, 2026",09/06/2026 at 4:28 PM,09/06/2026 at 2:00 PM,Motor Vehicle Theft,Olin Library,Complainant reports theft of electric scooter.,Pending,260326,28606,,,,,,,,,,,,,,,,
1,"September 5, 2026",09/05/2026 at 6:36 PM,09/05/2026 at 6:36 PM,Property Destruction,Fontbonne,Complainant reports damage to walls and floors.,Pending,260323,28603,,,,,,,,,,,,,,,,
1,"September 4, 2026",09/04/2026 at 10:02 PM,09/04/2026 at 10:02 PM,Larceny,Fine Arts Dr,Assisted SLMPD with a larceny.,Referred to SLMPD,26-09-04-035074,28599,,,,,,,,,,,,,,,,
1,"September 2, 2026",09/02/2026 at 7:56 PM,09/02/2026 at 7:56 PM,Larceny,Shepley House,Complainant reports theft of headphones.,Closed,260315,28576,,,,,,,,,,,,,,,,
1,"September 1, 2026",09/01/2026 at 8:49 PM,09/01/2026 at 8:30 PM,Harassment,Danforth Campus,Complainant reports concerning communication.,Danforth Campus,260312,28570,,,,,,,,,,,,,,,,
1,"September 1, 2026",09/02/2026 at 12:07 AM,09/01/2026 at 7:50 PM,Fraud,Danforth House,Complainant reports fraudulent exchange of goods.,Active,260316,28578,,,,,,,,,,,,,,,,
1,"August 30, 2026",08/30/2026 at 10:52 AM,08/30/2026 at 10:30 AM,Motor Vehicle Theft (Attempt),Interdrive,Assisted UCPD with an attempted motor vehicle theft.,Referred to UCPD,26-08-30-034143,28563,,,,,,,,,,,,,,,,
2,"August 28, 2026",08/28/2026 at 11:56 AM,08/28/2026 at 10:44 AM,Larceny,Weil Hall,Complainant reports theft of bike.,Active,260304,28547,,,,,,,,,,,,,,,,
2,"August 27, 2026",08/27/2026 at 2:07 AM,08/27/2026 at 2:00 AM,Property Destruction,Sigma Phi Epsilon,Complainant reports damage to window.,Referred to Judicial,260300,28545,,,,,,,,,,,,,,,,
2,"August 26, 2026",08/27/2026 at 10:31 AM,08/26/2026 at 11:26 AM,Auto Accident Leave The Scene,DUC Garage,Complainant reports leaving the scene of an auto accident.,Active,360301,28557,,,,,,,,,,,,,,,,
2,"August 25, 2026",08/25/2026 at 5:38 PM,08/25/2026 at 5:38 PM,Trespass,South Campus,Subject with no WASHU affiliation located on campus.,Exceptional Clearance,260295,28520,,,,,,,,,,,,,,,,
2,"August 22, 2026",08/22/2026 at 12:31 AM,08/22/2026 at 12:31 AM,Trespass,Fontbonne,Subject with no WASHU affiliation located on WASHU property.,Exceptional Clearance,260290,28518,,,,,,,,,,,,,,,,
2,"August 21, 2026",08/21/2026 at 12:05 PM,08/21/2026 at 12:05 PM,Larceny,Pershing Ave,Assisted SLMPD with a larceny.,Referred to SLMPD,26-08-21-032686,28499,,,,,,,,,,,,,,,,
2,"August 20, 2026",08/20/2026 at 12:03 PM,08/20/2026 at 12:03 AM,Fraud,University City,Assisted UCPD with a fraud.,Referred to UCPD,26-08-20-032492,28497,,,,,,,,,,,,,,,,
2,"August 19, 2026",08/19/2026 at 11:45 PM,08/19/2026 at 11:45 PM,Larceny,Concourse Dr,Assisted SLMPD with a larceny.,Referred to SLMPD,26-08-19-032396,28475,,,,,,,,,,,,,,,,
2,"August 19, 2026",08/21/2026 at 6:19 PM,08/19/2026 at 12:00 AM,Harassment,Eliot House,Complainant reports concerning communication.,Active,26-08-21-032728,28501,,,,,,,,,,,,,,,,
2,"August 18, 2026",08/18/2026 at 12:12 PM,08/18/2026 at 12:12 PM,Larceny,Skinker Blvd,Assisted SLMPD with a larceny.,Referred to SLMPD,26-08-18-032177,28473,,,,,,,,,,,,,,,,
3,"August 16, 2026",08/17/2026 at 9:12 AM,08/16/2026 at 6:00 PM,Larceny,Sumers Rec,Complainant reports theft of watch.,Pending,260281,28468,,,,,,,,,,,,,,,,
3,"August 16, 2026",08/17/2026 at 1:42 AM,08/16/2026 at 8:05 AM,Vandalism,Fontbonne,Complainant reports graffiti.,Pending,260280,28466,,,,,,,,,,,,,,,,
3,"August 16, 2026",08/16/2026 at 1:39 AM,08/16/2026 at 1:39 AM,Trespass,Delmar Blvd,Subject with no WASHU affiliation located on WASHU property.,Exceptional Clearance,260278,28516,,,,,,,,,,,,,,,,
3,"August 11, 2026",08/11/2026 at 1:24 PM,08/11/2026 at 1:24 PM,Auto Accident – Leave The Scene,Forest Park Pkwy,Assisted SLMPD with leaving the scene of an auto accident.,Referred to SLMPD,26-08-11-031069,28453,,,,,,,,,,,,,,,,
3,"August 9, 2026",08/09/2026 at 2:11 PM,08/09/2026 at 2:11 PM,Trespass,Danforth Campus,Subject with no WASHU affiliation located on campus.,Exceptional Clearance,260268,28514,,,,,,,,,,,,,,,,
3,"August 7, 2026",08/11/2026 at 8:04 AM,08/07/2026 at 5:00 PM,Motor Vehicle Theft,Simon Hall,Complainant reports theft of golf cart.,Property Recovered,260272,28451,,,,,,,,,,,,,,,,
3,"August 2, 2026",08/02/2026 at 1:23 PM,08/02/2026 at 1:23 PM,Trespass,Fontbonne University,Subject with no WASHU affiliation located on campus.,Exceptional Clearance,260266,28429,,,,,,,,,,,,,,,,
3,"July 28, 2026",07/28/2026 at 9:42 PM,07/28/2026 at 9:42 PM,Trespass,Bauer Hall,Subject with no WASHU affiliation located on campus.,Exceptional Clearance,260259,28424,,,,,,,,,,,,,,,,
3,"July 27, 2026",07/29/2026 at 7:04 AM,07/27/2026 at 3:27 PM,Simple Assault,Eliot B House,Disturbance resulted in assault.,Active,260261,28426,,,,,,,,,,,,,,,,
3,"July 23, 2026",07/23/2026 at 4:52 PM,07/23/2026 at 3:43 PM,Larceny,Mallinckrodt Center,Complainant reports theft of money.,Active,260253,28418,,,,,,,,,,,,,,,,
4,"July 23, 2026",07/24/2026 at 3:54 PM,07/23/2026 at 9:30 AM,Harassment,Jubel Hall,Complainant reports concerning communication.,Active,260256,28413,,,,,,,,,,,,,,,,
4,"July 22, 2026",07/22/2026 at 9:13 AM,07/22/2026 at 9:13 AM,Burglary,Waterman Blvd,Assisted SLMPD with a burglary.,Referred to SLMPD,26-07-22-028461,28407,,,,,,,,,,,,,,,,
4,"July 20, 2026",07/20/2026 at 7:18 PM,07/20/2026 at 7:18 AM,Burglary,Waterman Blvd,Assisted SLMPD with a burglary.,Referred to SLMPD,26-07-20-028150,28405,,,,,,,,,,,,,,,,
4,"July 17, 2026",07/17/2026 at 9:29 PM,07/17/2026 at 9:29 PM,Auto Accident – Leave The Scene,Big Bend Blvd,Assisted UCPD with leaving the scene of an auto accident.,Referred to UCPD,26-07-17-027903,28399,,,,,,,,,,,,,,,,
4,"July 17, 2026",07/22/2026 at 10:28 AM,07/17/2026 at 9:00 AM,Larceny,Bauer Hall,Complainant reports theft of bike.,Active,260251,28402,,,,,,,,,,,,,,,,
4,"July 15, 2026",07/15/2026 at 11:31 PM,07/15/2026 at 9:56 PM,Trespass,DUC,Subject with no WASHU affiliation located on campus.,Cleared By Arrest,260246,28361,,,,,,,,,,,,,,,,
4,"July 14, 2026",07/14/2026 at 3:52 PM,07/14/2026 at 3:52 PM,Trespass,DUC,Subject with no WASHU affiliation located on campus.,Cleared By Arrest,260244,28359,,,,,,,,,,,,,,,,
4,"July 13, 2026",07/13/2026 at 7:47 PM,07/13/2026 at 7:16 PM,Trespass,DUC,Subject with no WASHU affiliation located on campus.,Exceptional Clearance,260243,28357,,,,,,,,,,,,,,,,
4,"July 9, 2026",07/13/2026 at 7:18 PM,07/09/2026 at 10:00 AM,Larceny,Whitaker Hall,Complainant reports theft of bike.,Active,260242,28354,,,,,,,,,,,,,,,,
4,"July 7, 2026",07/07/2026 at 7:16 PM,07/07/2026 at 7:16 PM,Larceny,Washington Ave,Assisted UCPD with a larceny,Referred to UCPD,26-07-07-026540,28345,,,,,,,,,,,,,,,,
5,"July 5, 2026",07/05/2026 at 10:55 PM,07/05/2026 at 8:52 PM,Trespass,DUC,Subject with no WASHU affiliation located on campus.,Cleared By Arrest,260239,28338,,,,,,,,,,,,,,,,
5,"June 29, 2026",06/29/2026 at 12:28 AM,06/29/2026 at 12:28 AM,Larceny,Lofts,Assisted UCPD with a larceny.,Referred to UCPD,26-06-29-025489,28331,,,,,,,,,,,,,,,,
5,"June 25, 2026",06/25/2026 at 4:00 PM,06/25/2026 at 1:00 PM,Motor Vehicle Theft,Eads Hall,Complainant reports theft of an electric bike.,Cleared By Arrest,260234,28327,,,,,,,,,,,,,,,,
5,"June 23, 2026",06/23/2026 at 11:42 PM,06/23/2026 at 11:42 PM,Trespass,DUC,Subject with no WASHU affiliation located on campus.,Cleared By Arrest,260233,28319,,,,,,,,,,,,,,,,
